id,slangs
1234567890,"{'mo', 'congrats', 'yan'}"
1134926986541981696,"{'🏆🏆🏆🏆🏆🏆', ':', 'rt'}"
1134781532994965504,"{'…', '➡', ':', 'htt', 'rt'}"
1134511549857636352,{'sir'}
1133838191977488390,"{':', 'rt'}"
1133039609527623682,"{':', '…', '#', 'rt'}"
1131850139218395136,{'…'}
1129806487574990855,"{':', 'rt'}"
1129323253472931840,{'ha'}
1127854641952305153,"{':', 'rt'}"
1127601826545721344,"{':', 'rt'}"
1126604868754509824,"{':', 'rt'}"
1126592123325833216,"{'agg', 'ha', 'ag', 't-t', '…', ':', ""aubameyang's"", 'rt'}"
1126231061078392833,"{'ha', 't-t', ':', 'rt'}"
1125869403390844929,"{':', 'rt'}"
1125599154904928256,"{'oo', 'wa'}"
1125595762447007744,{'oo'}
1123644413102764032,"{':', 'm', 'rt'}"
1117893098829430792,"{'…', 'se'}"
1117494636254244865,"{'🏆', '📺', ':', '💻', 'rt'}"
1115013768042434565,{'kirstjen'}
1114565649567813632,"{':', 'rt'}"
1113128703284965377,{'…'}
1111639849394753536,"{'dou', '…'}"
1109204863118987265,"{'repor', '…'}"
1108871979828948992,"{'…', 't', ':', 'rt'}"
1108794250840428544,"{'recog', '…'}"
1107590162182299650,{'man'}
1106958378109145088,"{'👉', '…', ':', 'htt', 'rt'}"
1106580418621591553,"{'📻', '👉', ':', 'boum', 'rt'}"
1106253253992464385,"{':', 'rt'}"
1105555569392402432,{'…'}
1105428650202140672,{'…'}
1105160056302170112,"{'mo', '…', ':', 'rt'}"
1105062338351296513,"{':', 'rt'}"
1104100948849410049,{'…'}
1104017947796762625,{'spacex'}
1103278778451668992,{'man'}
1103055289891414018,"{'oh', ':', 'rt'}"
1102975477961113600,{'lo'}
1101428619182817281,"{'huma', '…'}"
1100467425236144128,"{'👉', ':', 'rt'}"
1099883233896996865,{'ooh'}
1099620006369918977,"{':', 'rt'}"
1099377026291679232,"{':', 'rt'}"
1098884551840026630,"{'👉', ':', 'rt'}"
1097934269069094917,"{'shamima', 'begum'}"
1095122456027766785,{'man'}
1093874747723735042,{'man'}
1093815649099485184,{'janeiro'}
1092985358772568064,{'…'}
1092258516516126720,"{'🎉', 'rt', ':', '🏈', '🏆🏆'}"
1090338942224863232,"{'…', 'th'}"
1090306280206622721,"{':', '$', 'rt'}"
1089475887773429760,"{':', 'rt'}"
1089119247161311232,"{'k', '…', ':', 'petra', 'rt'}"
1087380571951648768,"{':', 'rt'}"
1085119173892759553,{'ex-leader'}
1084877167794761729,"{':', 'rt'}"
1084783914722447360,"{':', 'rt'}"
1084112110093766656,"{'rahaf', 'al-qunun'}"
1082134835857162241,{'oh'}
1082102384212537345,{'mahershala'}
1082100346003079168,{'oh'}
1074964928153436160,"{':', 'rt'}"
1074635887940681728,{'man'}
1074409737054244864,"{'⭐', ':', 'rt'}"
1073196545183543296,"{':', 'rt'}"
1073188315946541057,"{':', 'rt'}"
1072777743849275392,"{'f', '…'}"
1135554255258103810,"{':', 'rt'}"
1135547952938856448,"{'sa', '…', ':', 'rt'}"
1135540415535427586,"{':', 'rt'}"
1135531588916264961,"{':', 'rt'}"
1135516505251176448,"{'sh', '…'}"
1135506936483520513,"{':', 'rt'}"
1135501434089349120,"{':', 'rt'}"
1135499122415493121,"{'…', 'mili'}"
1135497613107781632,{'…'}
1135486309697576960,"{'ch', '…'}"
1135478754548047872,"{'betwe', '…'}"
1135474963262201857,"{'…', 'pa'}"
1135452335268859905,"{'…', 't'}"
1135433453158248448,"{'f', '…'}"
1135422130504589317,"{':', 'rt'}"
1135407016539762688,{':'}
1135396969034256384,{'…'}
1135384371651842049,"{':', 's', 'rt'}"
1135378265705787392,"{':', 'rt'}"
1135374310477111298,"{':', 'rt'}"
1135373113028415496,"{':', 'rt'}"
1135372554644967424,"{':', 'rt'}"
1135371748856217601,"{':', '…', '#', 'rt'}"
1135370754449661953,"{':', 'rt'}"
1135370086452273152,"{':', 'rt'}"
1135365523334676480,"{':', 'rt'}"
1135362464776957953,"{':', 'rt'}"
1135357947389849600,{'…'}
1135350421025955842,"{'…', 'pric'}"
1135344861488590848,"{':', 'rt'}"
1135339081922166787,"{':', 'rt'}"
1135333268734251010,{'…'}
1135327746320719873,"{':', 'rt'}"
1135322915392688133,"{':', 'rt'}"
1135305105782259715,"{'rt', '…', ':', 'laquita', 'h'}"
1135274926045376514,"{'…', 't'}"
1135271136453890048,{'…'}
1135259582429839360,{'…'}
1135257270097498113,"{'fra', '…'}"
1135256553865564164,"{'elit', '…'}"
1135252273980936198,"{'well', ':', 'rt'}"
1135222050585530369,"{'…', 'se'}"
1135199432583131138,"{':', 'rt'}"
1135195625258139648,"{'…', 'se'}"
1135180545787355136,"{'d', '…'}"
1135176784348143617,{'…'}
1135172981825703936,"{'e', 's', '’'}"
1135169221061685249,"{':', 'rt'}"
1135163631644151808,"{'…', 't'}"
1135154998235582469,"{'e', '…'}"
1135124869312651265,"{':', 'rt'}"
1135120710710497280,"{':', 'rt'}"
1135116526271553536,"{':', 'rt'}"
1135103687460831232,"{'resea', '…', ':', 'rt'}"
1135099556218253312,"{':', 'rt'}"
1135095385544953856,{'heyy'}
