,tweets,clusterID
0,  president trump lays a wreath at the tomb of the unknown warrior in westminster abbey     latest updates  ,0
1,  president trump inspects the guard with members of the royal family at buckingham palace     latest updates https,0
2,  the queen officially welcomes president trump to buckingham palace with the sound of a gun salute in the background    tru,0
3,this is the moment  and  arrived in the uk for a threeday state visit     trumpukvisit  ,0
4, and prince charles inspect the guard of honour on the buckingham palace lawn         he  ,0
5,president donald trump is arriving at buckingham palace on the first day of his statevisit to the uk   ,0
6, tells sky news on ridge that the uk shouldnt roll out the red carpet for trumpukvisit  ,0
7,it is in the best interests of the country for a new prime minister to lead    uk prime minister theresa may announ  ,1
8,pedro sánchez spains prime minister has emerged as the unlikely standardbearer for a socialist movement that ha  ,1
9,  i have done my best but it is now clear to me that it is in the best interests of the country for a new prime minister,1
10,  a tearful theresa may says serving as prime minister has been the honour of my life saying she is proud to have been th,1
11,european election 2019 results in maps and charts       ep2019,2
12,european elections 2019 major centrist blocs braced for losses        ep2019,2
13,european elections 2019 investigating false and misleading videos      ep2019,2
14,  eu elections major losses expected for mainstream parties  follow the results live  ,2
15,europeanelectionresults what we know so far  ,2
16,    results as they come in  and analysis of what happens next        ,2
17,  watch live and follow all the eu election results as they come in across the uk and europe    latest updates  ,2
18,  liverpool are champions league winners             ,4
19,  liverpool are champions league winners             ,4
20,  salah origi goals bring liverpool champions league redemption    ,4
21, have arrived back home to celebrate after their champions league 20 victory against    ,4
22,  lionel messi has opened up on the pain liverpool caused him and barcelona  and how they must go about easing it     read htt,4
23,liverpool have won the championsleague2019 after beating tottenham 20         ,4
24,  liverpool have won the uefa champions league after beating tottenham hotspur 20 in the final in madrid,4
25,tickets for tomorrows  are being offered to  and  fans for up to 6000  ,4
26,  austrian chancellor sebastian kurz loses vote of confidence in parliament after coalition collapse over secret video https,5
27,  ft man city 60 watford    stunning by manchester city    they have won the fa cup and completed the domestic treble    you have,6
28,   man city are champions     the first premier league side to win backtoback titles since 2009    what a team what a season,6
29,  ft chelsea 41 arsenal     chelsea win the europa league     giroud pedro and a double from hazard on their crowning night in,8
30,  ft chelsea 41 arsenal     chelsea win the europa league     giroud pedro and a double from hazard on their crowning night in,8
31,  goal    eden hazard scores for chelsea     chelsea 43 eintracht frankfu    chelsea are going to the final    live  ,8
32,  full time     valencia 24 arsenal  37    hattrick puts arsenal in the final     chelsea 11 frankfurt ag,8
33,  ht chelsea 00 arsenal     its goalless at the break in azerbaijan         h,8
34,harry and meghan name their baby son archie harrison mountbattenwindsor        ,9
35, talks between labour and the conservatives end without agreement with jeremy corbyn saying negotiations ha  ,10
36,uk pm theresa may writes to eu requesting  extension until 30 june 2019  and says leaving with a deal is th  ,10
37,jeremy corbyn says he is very happy to meet uk pm theresa may for  talks but adds labours proposals to   ,10
38,this debate this division cannot drag on much longer it is doing damage to our politics  uk pm theresa may c  ,10
39,for a second time none of mps proposed  options wins clear backing in commons     reaction  ,10
40,uk mps reject pm theresa mays eu withdrawal agreement by 344 votes to 286 throwing  plans into further dou  ,10
41, deadlock none of uk mps proposed options secures clear backing in commons vote  ,10
42,   i do not believe that we should be revoking article 50    uk pm theresa may speaking after the eu agrees a plan t,10
43,  mps reject amendment to take control of brexit process and force a series of indicative votes on the way forward by 314,10
44,uk pm theresa may says  options are the same as they always have been warning no brexit at all would da  ,10
45,uk mps reject a nodeal  by 312 to 308 in a nonbinding vote    ,10
46,labours jeremy corbyn says uk pms  deal is clearly dead saying theresa may has run down the clock and  ,10
47,uk pm theresa may says mps now face an unenviable choice of what to do next stressing that voting against the d  ,10
48,uk mps vote against theresa mays revised eu withdrawal deal by 391 to 242 throwing  plans into confusion  ,10
49,attorney general geoffrey cox says legal risk remains unchanged in updated  deal and uk would have no lega  ,10
50,labour says it is prepared to back another eu referendum to prevent a damaging tory brexit      ,10
51,uk mps back theresa mays bid to change  deal by requiring alternatives to irish border backstop plan  ,10
52,uk mps back alternative move to stop nodeal brexit in nonbinding vote   ,10
53,labour leader jeremy corbyn tables no confidence motion in theresa mays government after  defeat     ,10
54,uk pm theresa may invites leaders of other parties to meet with her to discuss brexit starting tonight after gov  ,10
55,uk pm theresa may loses mps  on her deal by 432 votes to 202  the biggest government defeat since 1924  ,10
56,uk prime minister theresa may says she will get on with the job of delivering brexit after surviving a  ,10
57,i will contest that vote with everything ive got  uk prime minister theresa may says she will stand ready to f  ,10
58,they may have donated to bill de blasios fairness pac but will they put their votes where their money went not e  ,10
59,  us president donald trump and first lady melania trump attend a welcome ceremony with britains queen elizabeth at b,10
60,uk governments right to rent scheme asking landlords to check tenants immigration status incompatible with huma  ,10
61,us pompeo to discuss venezuela iran with dutch counterpart    ,10
62,small museums across the us struggle to raise money and capture attention at a time when so many other cultural o  ,10
63,  donald trump reignites political feud with sadiq khan tweeting that the london mayor is a stone cold loser who should focu,10
64,  president trump is on his way by helicopter to the us ambassadors residence winfield house in central london    latest updates,10
65,  us president donald trump arrives in uk for threeday state visit     follow latest updates   trumpu,10
66,  as the first black woman to run a major luxury fashion house  paid close attention to inclusivity when creating the,10
67,  what to expect from president trumps threeday state visit to the uk    tap to expand    ,10
68,  donald trump says boris johnson would be excellent tory leader  ,10
69,  european elections northern ireland elects three women meps for first time   ,10
70,trump in japan us president backs  talks  ,10
71,fresh from the fields of fukushima  meet the farmers who have returned to the site of japans worst nuclear powe  ,10
72,  donald trump details of first state visit to uk revealed  ,10
73,  i feel badly for theresa i like her very much  us president donald trump says the uk pm is very strong      ,10
74,  it is in the best interests of the country for a new prime minister to lead    uk prime minister theresa may announces she,10
75,  theresa may to quit as conservative leader on 7 june paving way for contest to decide new uk prime minister  ,10
76,  psgs president has been charged with corruption over qatars bid to host the world athletics championships      ,10
77,  live the queen hosts a formal welcome ceremony for president trump and the first lady at buckingham palace  ,10
78,  watch president trump responded moments ago to muellers public statement and his tweet this morning that i had nothing to,10
79,  watch full ceremony japans new emperor naruhito welcomes president trump and the first lady during the presidents state,10
80,  live british pm may speaks on latest brexit developments  ,10
81,federal judge denies president trumps bid to block us house cmtes bid to obtain some of the presidents financia  ,10
82,  live sec pompeo meets with president putin  ,10
83,  live  barr resumes testimony before senate on redacted mueller report        ,10
84,read special counsel muellers full letter to  barr     the summary letter  did not fully capture the context  ,10
85,  live  barr to discuss the redacted mueller repo before he releases it this morning    ,10
86,attorney general william barr ratcheted up his criticisms of the special counsels office and defended president tr  ,10
87,french president emmanuel macron cancelled an address to the nation that he had been due to give later monday eveni  ,10
88,british pm may has sacked gavin williamson as defense secretary following an investigation into the leak of informa  ,10
89,us attorney general barrs redacted version of the mueller report is expected to be released to congress and the pu  ,10
90,  barr sends new letter to congress explaining that the nearly 400page mueller report will be released w  ,10
91,special counsel muellers stillsecret report which was summarized in ag barrs 4page report was more than 300 p  ,10
92,  live  special report president trump meets with israeli pm netanyahu at the white house  ,10
93,  live president trump speaks from florida following release of ag barrs letter to congress with his summary of the special co,10
94,  breaking  special report special counsel mueller has submitted his repo to attorney general barr  ,10
95,  live sec pompeo holds news conference with russian foreign minister lavrov  ,10
96,  live nato sec gen  addresses congress  ,10
97,the moment mps reject yvette coopers amendment which sought an extension of article 50 if mps have not approved th  ,10
98,british lawmakers have approved a government motion seeking eu agreement for an extension to article 50 to delay th  ,10
99,  live authorities give latest updates after tornadoes kill at least 23 in eastern alabama    ,10
100,  breaking at least 14 killed in alabama tornadoes coroner tells  on     i expect that number to go higher but sur,10
101, at least 14 killed in alabama tornadoes coroner tells  on  i expect that number to go hi  ,10
102,kim jong un supervised a testfiring of a new tactical guided weapon calling its development an event of very wei  ,10
103,parents of otto warmbier speak out after president trumps comments on kim jong un and responsibility for   ,10
104,president trump has revoked a requirement that us intelligence officials publicly report the number of people kille  ,10
105,asked about having halted joint ussouth korea military exercises during north korea negotiations and if they woul  ,10
106,  live senate votes on housebacked bill aimed at terminating president trumps national emergency border declaration     if mea,10
107,  live michael cohen testimony resumes       house oversight cmte members still to question cohen     rep,10
108,  live  special report     michael cohen to testify before congress    ,10
109,  breaking white house reports no agreement was reached between president trump and north korean leader kim jong un at vietnam,10
110,  breaking president trump and kim jong un meet again in hanoi  ,10
111,  nbc news president noah oppenheim our deepest sympathies go out to his family and loved ones we are still gathering informa,10
112,  nbc news president noah oppenheim earlier today a device exploded in the vicinity of a group from  in syria we are,10
113,  live nbc news special report president trump to meet with kim jong un in vietnam  ,10
114,one elizabeth warren supporter said the democratic primary represented a crossroads for the party we have this ch  ,10
115,  live  special report president trump arrives in vietnam for second trumpkim summit   https,10
116,  live  special report president trump expected to declare national emergency to fund border wall  ,10
117,  live  special report     president trump to deliver state of the union      ,10
118,live  special report     president trump to deliver state of the union      ,10
119,us economy added 263000 jobs in april unemployment rate falls to 36 the lowest since 1969 new jobs report sho  ,10
120,president putin announced saturday that russia will also suspend the key cold warera missile treaty with the us fo  ,10
121,president trump and sec pompeo say the us will suspend its obligations under the intermediaterange nuclear forc  ,10
122,longest government shutdown in us history ends as president trump signs shortt funding bill that reopens govern  ,10
123,us house joins senate in approving a shortt funding bill that would reopen the government until feb 15 sends  ,10
124,  live nbc news special report virginia gov northam holds press conference after racist yearbook photo surfaces  ,10
125,democratic virginia gov ralph northam releases statement apologizing for yearbook photo i am deeply sorry for th  ,10
126,  live  special report president trump makes statement on government shutdown    ,10
127,  faa says air travel delays friday morning being caused by staffing issues at two air traffic contro  ,10
128,faa says it is halting flights into new york citys laguardia airport due to air traffic control staffing issues c  ,10
129,us calls on maduro to step aside in favor of a legitimate leader reflecting the will of the venezuelan people  th  ,10
130,  live  special report roger stone appears in cou following indictment and arrest    ,10
131,venezuelan security forces arrest no 2 leader of oppositioncontrolled congress    national assembly vp edgar zambr  ,10
132,  the school where children pay their tuition fees with plastic waste   ,10
133,  andrea leadsom resigns cabinet role saying she no longer believes governments approach will deliver brexit  ,10
134, president trump will meet with north korean vicechairman kim yongchol in the oval office at 1215 pm  ,10
135,  breaking  special report president trump visits iraq in his first war zone visit as president  ,10
136,us senate has passed a resolution 5446 to end us involvement in saudiled war in yemen a bipartisan rebuke of t  ,10
137,  live  special report latest from michael flynn sentencing hearing    ,10
138, us service members were killed in the bombing while conducting a routine patrol in the syrian city of ma  ,10
139,us is preparing to withdraw a significant number of us troops from syria two senior defense officials and one pers  ,10
140,us justice dept announces charges against 2 chinese hackers who are allegedly associated with the chinese governme  ,10
141,  in 2012 we distributed around 300 meals but today we want to distribute 40000    amadou sakhir diop is the cofounder of,10
142, the president today made very clear that he wants to cut deals with the democrats and quite frankl  ,10
143, theres lots of things that democrats could take a stand on that they find inherently unacceptable  ,10
144,after delayed results and international pressure congos electoral commission announces that opposition leader fel  ,10
145,  hundreds of uk teens are being sent by their parents to east africa to escape knife crime in london weve been told    ht,10
146, hopefully we can all work together next year to continue delivering for the american people  ,10
147, attorney general  is a patriot he was a good republican and i applaud him for hi  ,10
148, attorney general  is a patriot he was a good republican and i applaud him for hi  ,10
149, on jeff sessions resigning it was going to happenhes been a proverbial dead man walking for severa  ,10
150,  breaking video shows armored military vehicle slamming into proguaidó protesters amid unrest in caracas  ,10
151, supporting marriage and children is the best maybe the only way for republicans or any of us to  ,10
152, supporting marriage and children is the best maybe the only way for republicans or any of us to  ,10
153, i dont think last night was a referendum on the president i think last night was really a refe  ,10
154,dershowitz on sessions departure not all gop senators will allow trump to demand loyalty from new   ,10
155, on jeff sessions resignation i think it was appropriate the action that was taken today by   ,10
156,attorney general jeff sessions resigns in the wake of midterm elections  reports thestory  ,10
157, on jeff sessions resigning it was going to happenhes been a proverbial dead man walking for severa  ,10
158, the president today made very clear that he wants to cut deals with the democrats and quite frank  ,10
159,  trumps biggest beefs w jeff sessions   probe recusal   not investigating ds   not probing clinton ties to ru,10
160,we will protect the rule of law     tweets a statement after jeff sessions resigns as attorney gener  ,10
161, calls on acting  whitaker to recuse himself from mueller investigation    ,10
162,just in acting  whitaker sworn in    ,10
163, releases a statement following  jeff sessions resignation    ,10
164,we do know that the  this morning asked for the resignation of jeff sessions     reports li  ,10
165,breaking news attorney general jeff sessions resigns chief of staff matthew g whitaker becomes acting   ,10
166,breaking news attorney general jeff sessions resigns chief of staff matthew g whitaker becomes acting   ,10
167, do you know what an reo is    an oreo    when us housing secretary ben carson got a real estate term mixed  ,10
168,opinion yes democrats have won the house but behind pelosis soaring rhetoric is this harsh political reality  ,10
169, we have to work together we need to improve the health care system in american because its not w  ,10
170, dems election message was all trump no substance  ,10
171, yesterdays election was not only a vote to protect americas health care it was a vote to restore  ,10
172,at least 77 military veterans elected to congress   ,10
173, women led the way to victory with at least 30 new women coming to the congress midterms2018  ,10
174,  live  special report    a national day of mourning for former president george hw bush  ,10
