EventID	Description	Category
10003	"They all discuss about  BET awards"	"Celebrity and Human Interest News"
10003	"They are discussing a televised award show for the BET network."	"Celebrity and Human Interest News"
10003	"They are discussing a televised award show for the BET network."	"Celebrity and Human Interest News"
10112	"2 chainz performance"	"Celebrity and Human Interest News"
10112	"about 2 chainz"	"Celebrity and Human Interest News"
10112	"Tweeting about a performance of 2chainz"	"Celebrity and Human Interest News"
10112	"Tweets about 2 chainz musical performance."	"Miscellaneous News"
10113	"keyshia cole show"	"Celebrity and Human Interest News"
10113	"It is about TV show by Keshya cole and her Husband."	"Celebrity and Human Interest News"
10113	"Keyshia Cole Show"	"Miscellaneous News"
10116	"They discuss about keyshia & Daniel"	"Celebrity and Human Interest News"
10116	"Keyshia and Daniel"	"Celebrity and Human Interest News"
10116	"about Keyshia & Daniel"	"Celebrity and Human Interest News"
10129	"about pep rally"	"Miscellaneous News"
10129	"Pap rally 2012"	"Political and Diplomatic Meetings"
10129	"They all discuss about pep rally"	"Sports News"
10129	"The topic is about a rally known as Pep iRallyin the town"	"Miscellaneous News"
10131	"about meek mill"	"Celebrity and Human Interest News"
10131	"Meek Mill and his performance"	"Celebrity and Human Interest News"
10131	"Meek Mill and his performance"	"Celebrity and Human Interest News"
10131	"They all like to watch Meek Millz show"	"Celebrity and Human Interest News"
10141	"the event the Tweets discussed about the Lyricist"	"Celebrity and Human Interest News"
10141	"Kendrick Lamar wins the award lyricist of the year"	"Celebrity and Human Interest News"
10141	"Lyrics of the year : Kendrick Lamar"	"Celebrity and Human Interest News"
10142	" is about an Award function. The nominees can be KENDRIK LAMAR"	"Celebrity and Human Interest News"
10142	"about kendrick lamar"	"Celebrity and Human Interest News"
10142	"kendrick's nomination for award"	"Celebrity and Human Interest News"
10145	"about fat joe"	"Celebrity and Human Interest News"
10145	"They all discuss about fat joe"	"Celebrity and Human Interest News"
10145	"Fat Joe's description"	"Celebrity and Human Interest News"
10145	"Fat Joe's description"	"Celebrity and Human Interest News"
10155	"Detroit and Oakland played a postseason game. The winner was surprising."	"Sports News"
10155	"POST SEASON BASE BALL"	"Sports News"
10155	"Just watched a great baseball game with Detroit and  Oakland "	"Sports News"
10158	"It was about a debate on CNN between the two candidats,Biden and Romney."	"Elections"
10158	"VIP debates with Biden"	"Elections"
10158	"Talking about a Vice presidental debate"	"Elections"
10158	"POLITICAL DEBATE"	"Elections"
10197	"Nobel Peace Prize goes to the EU"	"New Laws"
10197	"Nobel Peace Prize EU"	"Science and Discovery News"
10197	"nobel peace prize awarded"	"Science and Discovery News"
10206	"Some guy named omarion dancing on stage"	"Celebrity and Human Interest News"
10206	"omarion won the stage"	"Miscellaneous News"
10206	"Omarion dancing old school."	"Celebrity and Human Interest News"
10226	"Earthquake was felt"	"Natural Disaster"
10226	"Whether or not people felt an earthquake happening"	"Natural Disaster"
10226	"Earthquake on cape cod"	"Natural Disaster"
10236	"World Series"	"Sports News"
10236	"WORLD SERIES"	"Sports News"
10236	"World Series"	"Sports News"
10236	"Talking about the world series"	"Sports News"
10257	"Tweet was about T-mobile, and not the yankees game"	"Sports News"
10257	"Yankees win a playoff with a walkoff over the Orioles."	"Sports News"
10257	"The Yankees won a game."	"Sports News"
10259	"This is about a yankees/orioles game that went extra innings."	"Sports News"
10259	"Yankees vs Orioles game"	"Sports News"
10259	"yankees playoff game"	"Sports News"
10263	"Biden talks about facts at the debates."	"Elections"
10263	"vice presidential debate 2012"	"Elections"
10263	"Vice Presidential Debate"	"Elections"
10263	"It looks like it was between Joe Biden and a foreign policy expert. Not too much on what or where is included. "	"Elections"
10263	"FACTS MATTER VP DEBATE"	"Political and Diplomatic Meetings"
10267	"Homecoming game tonight"	"Miscellaneous News"
10267	"discussion of that night's Homecoming Game, Saints vs. ? (do not see who other team is)"	"Sports News"
10267	"Tweets are about Homecoming game support .....tonight"	"Scandals/Hearings"
10267	"the homecoming games"	"Sports News"
10268	"The closing statement from Paul Ryan during the Vice Presidential Debate."	"Elections"
10268	"12 Oct 2012 – Paul Ryan spoke for 40 of the 90 minutes during Thursday night's vice presidential debate and managed to tell at least 24 myths during that time"	"Elections"
10268	"Tweets are about Ryan debate in closing statement."	"Elections"
10268	"vice presidential debate"	"Elections"
10268	"Ryan's closing statement at debate has effect."	"Elections"
10273	"Joe Biden's performance during the Vice Presidential Debate."	"Elections"
10273	"vice presidential debate"	"Elections"
10273	"Joe Biden VP Debate"	"Elections"
10273	"The event is the vp debate and Biden laughing."	"Elections"
10276	"debating of Paul Ryan"	"Elections"
10276	"The event is the vp debate."	"Elections"
10276	"The Vice Presidentail Debate between Joe Biden and Paul Ryan."	"Elections"
10278	"The tweets are about the vp debate."	"Elections"
10278	"VICE PRESIDENTIAL DEBATE"	"Political and Diplomatic Meetings"
10278	"presidential election is discussed"	"Elections"
10278	"vice president debates"	"Elections"
10283	"Vice Presidential candidate Paul Ryan states in the vice presidential debate that Mitt Romney is "a car guy.""	"Elections"
10283	"VP candidate Paul Ryan declares in the VP debate that Mitt Romney is "a car guy.""	"Elections"
10283	"vice presidential debate"	"Elections"
10285	"san marino vs. manchester united soccer game"	"Sports News"
10285	"Match between Manchester united and Sanmarino"	"Sports News"
10285	"Sam Marino's match"	"Sports News"
10285	"San Marino and Manchester united game"	"Sports News"
10286	"Ryan Bertrand has had to pull out of the England Squad with a sore throat"	"Sports News"
10286	"england player has sore throat and can not compete"	"Sports News"
10286	"One of the qualifer for the England's World Cup is out sick."	"Sports News"
10287	"This is about the VP debate between Joe Biden and Paul Ryan"	"Elections"
10287	"vice presidential debate"	"Elections"
10287	"vice presidential debate"	"Elections"
10287	"Joe Biden's performance during the Vice Presidential Debate with Ryan."	"Elections"
10288	"vice presidential debate"	"Elections"
10288	"vice presidential debate"	"Elections"
10288	"Vice Presidential debate"	"Elections"
10288	"discussing the 2012 vp debates"	"Elections"
10289	"EU wins Nobel Peace Prize"	"Miscellaneous News"
10289	"about Nobel Peace Prize"	"Celebrity and Human Interest News"
10289	"EU wins Nobel Peace Prize"	"Miscellaneous News"
10289	"tweets are about Nobel peace Prize and about EU and wining the same prize???AAre the have to win?"	"Celebrity and Human Interest News"
10290	"This is abuot the VP national debate and a Steelers game that couldn't be watched as a result."	"Elections"
10290	"They were discussing about the TV programme they watched"	"Miscellaneous News"
10290	"2012 vice presidential debate"	"Elections"
10290	"about watching vice presidential debate."	"Elections"
10291	"PAUL DEBATING THE MODERATOR"	"Political and Diplomatic Meetings"
10291	"pual ryan in the vp debates 2012"	"Elections"
10291	"paul debating moderator"	"Political and Diplomatic Meetings"
10292	"a presidential election is discussed"	"Elections"
10292	"vice presidential debate"	"Elections"
10292	"the talks about unemployment in vice presidential debate"	"Political and Diplomatic Meetings"
10293	"There talking about the vp debate."	"Elections"
10293	"presidential election is discussed"	"Elections"
10293	"vice presidential debate"	"Elections"
10293	"the 2012 vice president debates, Joe Biden vs. Paul Ryan "	"Elections"
10293	"vice presidential debate"	"Elections"
10295	"The tweets refer to an assault on a bus."	"Legal/Criminal Cases"
10295	"A Cleveland bus driver punched a female passenger in the face."	"Acts of Violence or War"
10295	"The Cleveland bus driver that uppercut the woman."	"Miscellaneous News"
10296	"vice presidential debate"	"Elections"
10296	"about Joe Biden"	"Elections"
10296	"The tweets are about the vp debate."	"Elections"
10296	"vice presidential debate"	"Elections"
10297	"The event is the vp debate."	"Elections"
10297	"vice presidential debate"	"Elections"
10297	"vice presidential debate of 2012"	"Elections"
10297	"vice presidential debate"	"Elections"
10301	"Buster Posey hits a grand slam against the Reds."	"Sports News"
10301	"Buster Posey grand slam leads SF Giants to historic Division Series"	"Sports News"
10301	"a grand slam"	"Sports News"
10301	"Buster Posey hits Grand Slam."	"Sports News"
10301	"Winning of a grandslam by Posey"	"Sports News"
10302	"reactions to 2012 presidential election campaigns, with focus on Joe Biden"	"Elections"
10302	"The tweets discuss dissatisfaction with the President."	"Elections"
10302	"Presidential Elections and Vice President Debates"	"Elections"
10302	"about candidates preference "	"Elections"
10309	"vice presidential debate "	"Elections"
10309	"vice presidential debate"	"Elections"
10309	"vice presidential debate"	"Elections"
10309	"Biden winning debate better than Obama"	"Elections"
10313	"Jayson Werth's walk-off is the event."	"Sports News"
10313	"The walkoff home run by Jason Werth of the Nationals in the playoffs series against the Cardinals."	"Sports News"
10313	"Jayson Werth and his incredible walk off homerun."	"Sports News"
10314	"Jason Werth hitting a walkoff home run for the Nationals during the playoff game against the Cardinals."	"Sports News"
10314	"The tweets discuss a sports event."	"Sports News"
10314	"Jason Werth hits a home run."	"Sports News"
10316	"Vice President Joe Biden's performance in the Vice Presidential debate."	"Elections"
10316	"About Joe Biden's reactions, specifically laughing, during the debate."	"Elections"
10316	"biden behavior in vp debate "	"Elections"
10316	"The tweets are about the vp debate."	"Elections"
10317	"Ryan talks about abortion at vp debate."	"Elections"
10317	"vice presidential debate"	"Elections"
10317	"They were discussing about the topic 'where does the life begin'."	"Miscellaneous News"
10317	"About the comment that Paul Ryan stated that he believes life begins at conception."	"Elections"
10318	"VP Debate Joe Biden"	"Elections"
10318	"vice presidential debate"	"Elections"
10318	"ABOUT Joe Biden"	"Elections"
10318	"This is abuot the observations of the 2 VP during their national debate."	"Elections"
10319	"VP DEBATE RYAN VS BIDEN"	"Political and Diplomatic Meetings"
10319	"The event is the vp debate."	"Elections"
10319	"vice presidential debate"	"Elections"
10319	"vice presidential debate"	"Elections"
10320	"Honey boo boo takes swimming lessons"	"Celebrity and Human Interest News"
10320	"Honey boo boo"	"Miscellaneous News"
10320	"Discussing the show Honey Boo Boo about the beauty pageant little girl."	"Miscellaneous News"
10322	"Martha Raddatz"	"Political and Diplomatic Meetings"
10322	"Tweets are talking about Martha Raddatz at the vp debate."	"Elections"
10322	"Martha raddatz performance in moderating the 2012 vp debate"	"Elections"
10323	"They discuss about Biden vs Martha presidential debate."	"Political and Diplomatic Meetings"
10323	"Describing martha raddatz moderation of the vp debate"	"Elections"
10323	"Their talking about Martha Raddatz at the vp debate."	"Elections"
10323	"About the Vice Presidentail Debate with Joe Biden and how great Martha Raddatz did as the moderator."	"Elections"
10324	"vice presidential debate"	"Elections"
10324	"presidential debate"	"Elections"
10324	"discussing the moderators performance in the 2012 vp debate"	"Elections"
10324	"vice presidential debate"	"Elections"
10325	"VP DEBATE RYAN VS BIDEN"	"Political and Diplomatic Meetings"
10325	"Biden answering the question"	"Political and Diplomatic Meetings"
10325	"The Vice Presidential Debate between Joe Biden and Paul Ryan."	"Elections"
10325	"The tweets are about the vp debate."	"Elections"
10325	"vice presidential debate"	"Elections"
10326	"Paul Ryan during the Vice Presidential Debate with Joe Biden and moderated by Martha Raddatz."	"Elections"
10326	"The event is the vp debate."	"Elections"
10326	"Paul Ryan is lying "	"Elections"
10327	"The event is the vp debate."	"Elections"
10327	"More about the Vice Presidential Debate with Martha Raddatz moderating."	"Elections"
10327	"They discuss about Biden vs Marths presidential  debate."	"Political and Diplomatic Meetings"
10327	"vice presidential debate"	"Elections"
10328	"vice presidential debate, biden"	"Elections"
10328	"Biden smiles a lot at the vp debate."	"Elections"
10328	"vice presidential debate"	"Elections"
10329	"vice presidential debate"	"Elections"
10329	"Rylan answering the question"	"Political and Diplomatic Meetings"
10329	"The event is the vp debate."	"Elections"
10329	"ELECTION CAMPAIGN"	"Elections"
10329	"Paul Ryan avoiding questions during the Vice Presidential Debate."	"Elections"
10330	"vice presidential debate"	"Elections"
10330	"Debate over Obama's foreign policy"	"Political and Diplomatic Meetings"
10330	"a presidential election is discussed"	"Elections"
10330	"Obama-Romney and Biden-Ryan"	"Elections"
10331	"vice presidential debate"	"Elections"
10331	"about US presidential elections"	"Elections"
10331	"Joe Biden and Paul D. Ryan debate"	"Elections"
10331	"There talking about Biden interrupting at the vp debate."	"Elections"
