,tweets,clusterID,titles
0,John Cusack says Lenovo overtakes HP http://t.co/WQBVtVuN,46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
1,Lenovo IdeaPad Yoga 11: Hands-on with the bendy Windows RT tablet - http://t.co/FKYnj02P,46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
2,"H-P, Lenovo jockey for No. 1 in PCs: reports: SAN FRANCISCO (MarketWatch) Hewlett-Packard and Lenovo were jockey... http://t.co/BMPQUH1i",46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
3,"PC shipments fall, 1 firm says Lenovo overtakes HP: Worldwide shipments of PCs fell sharply in the t... http://t.co/NwZS05b6 #Tech #News",46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
4,"Lenovo Overtakes HP as World’s Top PC Maker in Q3

http://t.co/F3dHNai5",46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
5,Lady's Black Laptop Bag for 15.6 inch Lenovo G560-0679AKU Notebook + An Ekatomi Hook. | Laptop Cases 15.6 http://t.co/Qrzlsm9j,46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
6,CNA - Lenovo tops HP as world's biggest PC maker: NEW YORK: Chinese manufacturer Lenovo has overtaken US-based H... http://t.co/TyQEI9d2,46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
7,Lenovo tops HP as world's biggest PC maker: NEW YORK: Chinese manufacturer Lenovo has overtaken US-based Hewlett... http://t.co/pu91s4Zn,46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
8,Lenovo is now the #1 PC manufacturer.  Just beat HP and Dell!,46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
9,Lenovo Overtakes HP In PC Shipments For First Time: Gartner: NEW YORK — Worldwide shipments of PCs fell sharply ... http://t.co/mRVLi3Bp,46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
10,Lenovo Overtakes HP In PC Shipments For First Time: Gartner: NEW YORK — Worldwide shipments of PCs fell sharply ... http://t.co/WlqbUvZ8,46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
11,"Lenovo Yoga Transforming Laptop Arrives, With Friends http://t.co/uILRqdNc",46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
12,"Lenovo passes HP to be top PC maker: The Chinese group has a 15.7% share of worldwide shipments of units, compar... http://t.co/Tff5Zi3C",46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
13,"ReddingNewsBlog HP, Lenovo battle for top spot in PC market - Computerworld: AFPHP, Lenovo battle for top spot i... http://t.co/8tLlkSdR",46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
14,"HP, Lenovo battle for top spot in PC market - Computerworld http://t.co/3poCqfgL",46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
15,"HP, Lenovo battle for top spot in PC market - Computerworld: AFPHP, Lenovo battle for top spot in PC marketCompu... http://t.co/83RuRP5s",46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
16,"Lenovo knocks HP off top of global PC market -Gartner: SAN FRANCISCO, Oct 10 (Reuters) - China's Lenovo Group Lt... http://t.co/tAxIdY62",46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
17,http://t.co/hhxN5rsZ Lenovo knocks HP off top of global PC market: Gartner: SAN FRANCISCO (Reuter... http://t.co/0ebk2GSO Technology News,46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
18,Lenovo knocks HP off top of global PC market: Gartner: SAN FRANCISCO (Reuters) - China's Lenovo Group Ltd edged ... http://t.co/clKsZrxx,46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
19,Lenovo knocks HP off top of global PC market: Gartner http://t.co/YXAHiR8M,46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
20,"Lenovo knocks HP off top of global PC market -Gartner: SAN FRANCISCO, Oct 10 (Reuters) - China's Lenovo Group Ltd... http://t.co/UPXv8ejh",46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
21,Lenovo knocks HP off top of global PC market: Gartner: SAN FRANCISCO (Reuters) - China's Lenovo Group Ltd edged out Silicon Valley ic...,46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
22,Lenovo knocks HP off top of global PC market: Gartner: SAN FRANCISCO (Reuters) - China's Lenovo Group Ltd edged ... http://t.co/Y7FcCKuR,46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
23,"HP, Lenovo battle for top spot in PC market - Computerworld: Wall Street JournalHP, Lenovo battle for top spot i... http://t.co/S2FqzBbf",46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
24,"PC shipments fall, 1 firm says Lenovo overtakes HP: NEW YORK (AP) — Worldwide shipments of PCs fell sharply in t... http://t.co/AU5ultW2",46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
25,Lenovo passes HP to be top PC maker: http://t.co/Pi7NnCDY #FT,46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
26,"HP, Lenovo battle for top spot in PC market - Computerworld http://t.co/zwzPdN8Q #googlenews",46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
27,Lenovo knocks HP off top of global PC market: Gartner: SAN FRANCISCO (Reuters) - China's Lenovo Grou... http://t.co/He6V8h49 #Tech #News,46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
28,Lenovo passes HP to be top PC maker http://t.co/ia96U4e3,46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
29,Lenovo Ibm 0764 Series Notebook / Laptop Battery 5000mAh (Replacement): Lenovo Ibm 0764 Series  Notebook / Lapto... http://t.co/K9SEFigT,46,"['Lenovo takes over HP as the biggest PC maker', 'HP and  Lenovo battle for top spot in PC market of  Computerworld', 'ABOUT LENOVO AND HP']"
