clusterno,topic,tweet

0,Politics,this is the moment  and  arrived in the uk for a threeday state visit     trumpukvisit  

1,Human Interest,  a tearful theresa may says serving as prime minister has been the honour of my life saying she is proud to have been th

4,Politics,  austrian chancellor sebastian kurz loses vote of confidence in parliament after coalition collapse over secret video https

5,Sports,   man city are champions     the first premier league side to win backtoback titles since     what a team what a season

6,Sports,  ft chelsea  arsenal     chelsea win the europa league     giroud pedro and a double from hazard on their crowning night in

8,Sports,  a history of the cricket     read more          

9,Human Interest,  us unveils  new charges against wikileaks cofounder julian assange who is facing extradition from the uk  

14,War_Conflict,  watch wikileaks founder julian assange arrested by police in london almost  years after he sought refuge in the ecuadorian e

18,Disaster_Accident,  rescuers hunting missing climbers in indian himalayas say they saw five bodies from the air believed to be dead  

22,Environment,ten people die in fire at flamengo football clubs training ground in rio de janeiro brazilian media report  

23,Politics,man  detained on suspicion of arson in connection with fire at a medical centre in tamworth staffs police say  

28,Law_Crime,you can listen to a free preview of  on siriusxm ch  in your car online or on the siriusxm app until ju  

29,Politics,  claude puel has left his role as manager of leicester city following saturdays  defeat to crystal palace in the premier l

31,Disaster_Accident,international criminal court frees ivory coast  gbagbo dropping charges of crimes against humanity charges  

32,Sports,saudi teenager  alqunun who fled her family and got stranded in bangkok has arrived in canada after being g  

38,Human Interest,going someplace far away we now know is the biggest single action a private citizen can take to worsen climate ch  

42,Politics,  it took a lot to get mary mitchell to talk to us mike ostracized the family and convinced parents that they were trying to ta

48,Entertainment_Culture,  for those watching  right now we pubbed a follow up today that the fbi is now investigating tm landry  a federal

59,Law_Crime,  you need just the right circumstances to fossilize a school of fish in place within a rock but that is just what may have

60,Education,  the school was famous for viral college acceptance videos one student said the schools leader choked shoved and dragged h

62,Politics,  breaking director john singleton has died at age  his family says  

63,War_Conflict,  champion    naomi osaka wins the australian open womens singles title for the first time with a dramatic victory over  k

65,Law_Crime,trade tensions led american businesses to shift operations to mexico from china president trumps latest tariff th  

67,Sports,each year in the us about  babies are born with heart defects about  are likely to need surgery or o  

69,Sports,  i knew how small our story had become when we were found innocent there was no tsunami of media that followed in the

70,Disaster_Accident,tiny love stories heyy his message read my heart fluttered one y may have left me upset but the second y  

71,Law_Crime,  just posted the chao family is at the center of maritime policy at two of the most powerful nations in the world us amp

75,Disaster_Accident,liverpool and tottenham premier league rivals will play today in the champions league final in madrid   

77,Politics,who threw the first brick at stonewall was there even a brick our video examines the importance of this myth to t  

88,Sports,  for years this photographer tried to forget the bloodshed he had seen at tiananmen square and locked away his memories i

89,Human Interest,senator elizabeth warren said friday that if elected president she would seek to pass a law clarifying that the ju  

91,Politics,  when i play with boys some laugh at me  but after the game they sta chanting that i am better than many of them    soma

94,Politics,as new york prepares to celebrate the th anniversary of the uprising at the stonewall inn some in the midwest sa  

